DATAFLOW,LAST UPDATE,freq,unit,bmi,lev_limit,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:HLTH_DH050(1.0),11/03/14 23:00:00,A,PC_POP,18P5-25,NONE,Y15-64,T,CZ,2008,47.9,
ESTAT:HLTH_DH050(1.0),11/03/14 23:00:00,A,PC_POP,18P5-25,NONE,Y15-64,T,EE,2008,55.7,
ESTAT:HLTH_DH050(1.0),11/03/14 23:00:00,A,PC_POP,18P5-25,NONE,Y15-64,T,EL,2008,49.2,
ESTAT:HLTH_DH050(1.0),11/03/14 23:00:00,A,PC_POP,18P5-25,NONE,Y15-64,T,ES,2008,51,
ESTAT:HLTH_DH050(1.0),11/03/14 23:00:00,A,PC_POP,18P5-25,NONE,Y15-64,T,FR,2008,59.1,
ESTAT:HLTH_DH050(1.0),11/03/14 23:00:00,A,PC_POP,18P5-25,NONE,Y15-64,T,HU,2008,49.5,
ESTAT:HLTH_DH050(1.0),11/03/14 23:00:00,A,PC_POP,18P5-25,NONE,Y15-64,T,LV,2008,55.3,
ESTAT:HLTH_DH050(1.0),11/03/14 23:00:00,A,PC_POP,18P5-25,NONE,Y15-64,T,MT,2008,42.5,u
ESTAT:HLTH_DH050(1.0),11/03/14 23:00:00,A,PC_POP,18P5-25,NONE,Y15-64,T,PL,2008,50,
ESTAT:HLTH_DH050(1.0),11/03/14 23:00:00,A,PC_POP,18P5-25,NONE,Y15-64,T,RO,2008,52.6,u
ESTAT:HLTH_DH050(1.0),11/03/14 23:00:00,A,PC_POP,18P5-25,NONE,Y15-64,T,SI,2008,48.9,
ESTAT:HLTH_DH050(1.0),11/03/14 23:00:00,A,PC_POP,18P5-25,NONE,Y15-64,T,SK,2008,55.4,
ESTAT:HLTH_DH050(1.0),11/03/14 23:00:00,A,PC_POP,18P5-25,NONE,Y15-64,T,TR,2008,53.3,
ESTAT:HLTH_DH050(1.0),11/03/14 23:00:00,A,PC_POP,18P5-25,NONE,Y25-34,F,AT,2008,69.8,
ESTAT:HLTH_DH050(1.0),11/03/14 23:00:00,A,PC_POP,18P5-25,NONE,Y25-34,F,BE,2008,60.6,u
ESTAT:HLTH_DH050(1.0),11/03/14 23:00:00,A,PC_POP,18P5-25,NONE,Y25-34,F,BG,2008,69.3,
ESTAT:HLTH_DH050(1.0),11/03/14 23:00:00,A,PC_POP,18P5-25,NONE,Y25-34,F,CY,2008,66.6,
ESTAT:HLTH_DH050(1.0),11/03/14 23:00:00,A,PC_POP,18P5-25,NONE,Y25-34,F,CZ,2008,64.2,
ESTAT:HLTH_DH050(1.0),11/03/14 23:00:00,A,PC_POP,18P5-25,NONE,Y25-34,F,EE,2008,68.8,
ESTAT:HLTH_DH050(1.0),11/03/14 23:00:00,A,PC_POP,18P5-25,NONE,Y25-34,F,EL,2008,69.2,
ESTAT:HLTH_DH050(1.0),11/03/14 23:00:00,A,PC_POP,18P5-25,NONE,Y25-34,F,ES,2008,69,
ESTAT:HLTH_DH050(1.0),11/03/14 23:00:00,A,PC_POP,18P5-25,NONE,Y25-34,F,FR,2008,66.8,
ESTAT:HLTH_DH050(1.0),11/03/14 23:00:00,A,PC_POP,18P5-25,NONE,Y25-34,F,HU,2008,65.7,
ESTAT:HLTH_DH050(1.0),11/03/14 23:00:00,A,PC_POP,18P5-25,NONE,Y25-34,F,LV,2008,67.3,
ESTAT:HLTH_DH050(1.0),11/03/14 23:00:00,A,PC_POP,18P5-25,NONE,Y25-34,F,MT,2008,55.8,u
ESTAT:HLTH_DH050(1.0),11/03/14 23:00:00,A,PC_POP,18P5-25,NONE,Y25-34,F,PL,2008,71.7,
ESTAT:HLTH_DH050(1.0),11/03/14 23:00:00,A,PC_POP,18P5-25,NONE,Y25-34,F,RO,2008,67.8,u
ESTAT:HLTH_DH050(1.0),11/03/14 23:00:00,A,PC_POP,18P5-25,NONE,Y25-34,F,SI,2008,76.5,
ESTAT:HLTH_DH050(1.0),11/03/14 23:00:00,A,PC_POP,18P5-25,NONE,Y25-34,F,SK,2008,73.4,
ESTAT:HLTH_DH050(1.0),11/03/14 23:00:00,A,PC_POP,18P5-25,NONE,Y25-34,F,TR,2008,61.1,
ESTAT:HLTH_DH050(1.0),11/03/14 23:00:00,A,PC_POP,18P5-25,NONE,Y25-34,M,AT,2008,58,
ESTAT:HLTH_DH050(1.0),11/03/14 23:00:00,A,PC_POP,18P5-25,NONE,Y25-34,M,BE,2008,58.3,u
ESTAT:HLTH_DH050(1.0),11/03/14 23:00:00,A,PC_POP,18P5-25,NONE,Y25-34,M,BG,2008,45.9,
ESTAT:HLTH_DH050(1.0),11/03/14 23:00:00,A,PC_POP,18P5-25,NONE,Y25-34,M,CY,2008,49,
ESTAT:HLTH_DH050(1.0),11/03/14 23:00:00,A,PC_POP,18P5-25,NONE,Y25-34,M,CZ,2008,42.4,
ESTAT:HLTH_DH050(1.0),11/03/14 23:00:00,A,PC_POP,18P5-25,NONE,Y25-34,M,EE,2008,50.4,
ESTAT:HLTH_DH050(1.0),11/03/14 23:00:00,A,PC_POP,18P5-25,NONE,Y25-34,M,EL,2008,48.8,
ESTAT:HLTH_DH050(1.0),11/03/14 23:00:00,A,PC_POP,18P5-25,NONE,Y25-34,M,ES,2008,46.6,
ESTAT:HLTH_DH050(1.0),11/03/14 23:00:00,A,PC_POP,18P5-25,NONE,Y25-34,M,FR,2008,63.1,
ESTAT:HLTH_DH050(1.0),11/03/14 23:00:00,A,PC_POP,18P5-25,NONE,Y25-34,M,HU,2008,49.7,
ESTAT:HLTH_DH050(1.0),11/03/14 23:00:00,A,PC_POP,18P5-25,NONE,Y25-34,M,LV,2008,49.9,
ESTAT:HLTH_DH050(1.0),11/03/14 23:00:00,A,PC_POP,18P5-25,NONE,Y25-34,M,MT,2008,35.1,u
ESTAT:HLTH_DH050(1.0),11/03/14 23:00:00,A,PC_POP,18P5-25,NONE,Y25-34,M,PL,2008,41.3,
ESTAT:HLTH_DH050(1.0),11/03/14 23:00:00,A,PC_POP,18P5-25,NONE,Y25-34,M,RO,2008,49.1,u
ESTAT:HLTH_DH050(1.0),11/03/14 23:00:00,A,PC_POP,18P5-25,NONE,Y25-34,M,SI,2008,41.6,
ESTAT:HLTH_DH050(1.0),11/03/14 23:00:00,A,PC_POP,18P5-25,NONE,Y25-34,M,SK,2008,50.5,
ESTAT:HLTH_DH050(1.0),11/03/14 23:00:00,A,PC_POP,18P5-25,NONE,Y25-34,M,TR,2008,55.4,
ESTAT:HLTH_DH050(1.0),11/03/14 23:00:00,A,PC_POP,18P5-25,NONE,Y25-34,T,AT,2008,64,
